Name,Wins,Losses,OT Losses,Goals For,Goals Against,Goal Difference
Boston Bruins,44,24,0,299,264,35
Buffalo Sabres,31,30,0,292,278,14
Calgary Flames,46,26,0,344,263,81
Chicago Blackhawks,49,23,0,284,211,73
Los Angeles Kings,46,24,0,340,254,86
Montreal Canadiens,39,30,0,273,249,24
New Jersey Devils,32,33,0,272,264,8
New York Rangers,36,31,0,297,265,32
St. Louis Blues,47,22,0,310,250,60
Chicago Blackhawks,36,29,0,257,236,21
Detroit Red Wings,43,25,0,320,256,64
Montreal Canadiens,41,28,0,267,207,60
New Jersey Devils,38,31,0,289,259,30
New York Rangers,50,25,0,321,246,75
St. Louis Blues,36,33,0,279,266,13
Vancouver Canucks,42,26,0,285,250,35
Washington Capitals,45,27,0,330,275,55
Winnipeg Jets,33,32,0,251,244,7
Boston Bruins,51,26,0,332,268,64
Buffalo Sabres,38,36,0,335,297,38
Calgary Flames,43,30,0,322,282,40
Chicago Blackhawks,47,25,0,279,230,49
Detroit Red Wings,47,28,0,369,280,89
Montreal Canadiens,48,30,0,326,280,46
New Jersey Devils,40,37,0,308,299,9
New York Islanders,40,37,0,335,297,38
Pittsburgh Penguins,56,21,0,367,268,99
St. Louis Blues,37,36,0,282,278,4
Toronto Maple Leafs,44,29,0,288,241,47
Vancouver Canucks,46,29,0,346,278,68
Washington Capitals,43,34,0,325,286,39
Boston Bruins,42,29,0,289,252,37
Buffalo Sabres,43,32,0,282,218,64
Calgary Flames,42,29,0,302,256,46
Chicago Blackhawks,39,36,0,254,240,14
Dallas Stars,42,29,0,286,265,21
Detroit Red Wings,46,30,0,356,275,81
Montreal Canadiens,41,29,0,283,248,35
New Jersey Devils,47,25,0,306,220,86
New York Islanders,36,36,0,282,264,18
New York Rangers,52,24,0,299,231,68
Pittsburgh Penguins,44,27,0,299,285,14
Toronto Maple Leafs,43,29,0,280,243,37
Vancouver Canucks,41,40,0,279,276,3
Washington Capitals,39,35,0,277,263,14
Boston Bruins,27,18,0,150,127,23
Buffalo Sabres,22,19,0,130,119,11
Calgary Flames,24,17,0,163,135,28
Chicago Blackhawks,24,19,0,156,115,41
Dallas Stars,17,23,0,136,135,1
Detroit Red Wings,33,11,0,180,117,63
New Jersey Devils,22,18,0,136,121,15
New York Rangers,22,23,0,139,134,5
Philadelphia Flyers,28,16,0,150,132,18
Pittsburgh Penguins,29,16,0,181,158,23
Quebec Nordiques,30,13,0,185,134,51
St. Louis Blues,28,15,0,178,135,43
Vancouver Canucks,18,18,0,153,148,5
Washington Capitals,22,18,0,136,120,16
Boston Bruins,40,31,0,282,269,13
Calgary Flames,34,37,0,241,240,1
Chicago Blackhawks,40,28,0,273,220,53
Colorado Avalanche,47,25,0,326,240,86
Detroit Red Wings,62,13,0,325,181,144
Florida Panthers,41,31,0,254,234,20
Montreal Canadiens,40,32,0,265,248,17
New Jersey Devils,37,33,0,215,202,13
New York Rangers,41,27,0,272,237,35
Philadelphia Flyers,45,24,0,282,208,74
Pittsburgh Penguins,49,29,0,362,284,78
Washington Capitals,39,32,0,234,204,30
Mighty Ducks of Anaheim,36,33,0,245,233,12
Buffalo Sabres,40,30,0,237,208,29
Chicago Blackhawks,34,35,0,223,210,13
Colorado Avalanche,49,24,0,277,205,72
Dallas Stars,48,26,0,252,198,54
Detroit Red Wings,38,26,0,253,197,56
Edmonton Oilers,36,37,0,252,247,5
Florida Panthers,35,28,0,221,201,20
New Jersey Devils,45,23,0,231,182,49
New York Rangers,38,34,0,258,231,27
Philadelphia Flyers,45,24,0,274,217,57
Pittsburgh Penguins,38,36,0,285,280,5
Boston Bruins,39,30,0,221,194,27
Buffalo Sabres,36,29,0,211,187,24
Colorado Avalanche,39,26,0,231,205,26
Dallas Stars,49,22,0,242,167,75
Detroit Red Wings,44,23,0,250,196,54
Los Angeles Kings,38,33,0,227,225,2
Montreal Canadiens,37,32,0,235,208,27
New Jersey Devils,48,23,0,225,166,59
Philadelphia Flyers,42,29,0,242,193,49
Pittsburgh Penguins,40,24,0,228,188,40
St. Louis Blues,45,29,0,256,204,52
Washington Capitals,40,30,0,219,202,17
Mighty Ducks of Anaheim,35,34,0,215,206,9
Boston Bruins,39,30,0,214,181,33
Buffalo Sabres,37,28,0,207,175,32
Carolina Hurricanes,34,30,0,210,202,8
Colorado Avalanche,44,28,0,239,205,34
Dallas Stars,51,19,0,236,168,68
Detroit Red Wings,43,32,0,245,202,43
Edmonton Oilers,33,37,0,230,226,4
New Jersey Devils,47,24,0,248,196,52
Ottawa Senators,44,23,0,239,179,60
Philadelphia Flyers,37,26,0,231,196,35
Phoenix Coyotes,39,31,0,205,197,8
Pittsburgh Penguins,38,30,0,242,225,17
San Jose Sharks,31,33,0,196,191,5
St. Louis Blues,37,32,0,237,209,28
Toronto Maple Leafs,45,30,0,268,231,37
Buffalo Sabres,35,32,4,213,204,9
Carolina Hurricanes,37,35,0,217,216,1
Colorado Avalanche,42,28,1,233,201,32
Dallas Stars,43,23,6,211,184,27
Detroit Red Wings,48,22,2,278,210,68
Edmonton Oilers,32,26,8,226,212,14
Florida Panthers,43,27,6,244,209,35
Los Angeles Kings,39,27,4,245,228,17
Montreal Canadiens,35,34,4,196,194,2
New Jersey Devils,45,24,5,251,203,48
Ottawa Senators,41,28,2,244,210,34
Philadelphia Flyers,45,22,3,237,179,58
Phoenix Coyotes,39,31,4,232,228,4
Pittsburgh Penguins,37,31,6,241,236,5
San Jose Sharks,35,30,7,225,214,11
St. Louis Blues,51,19,1,248,165,83
Toronto Maple Leafs,45,27,3,246,222,24
